image,id,choice,annotator,annotation_id
/data/upload/2822_orLqMBU.jpg,294,"{""choices"": [""left"", ""dirty"", ""labeled"", ""damaged""]}",glebsin@gmail.com,515
/data/upload/2825_1Ck0S7W.jpg,297,"{""choices"": [""b_left"", ""dirty"", ""labeled"", ""damaged""]}",glebsin@gmail.com,519
/data/upload/2768_4QfAQMI.jpg,240,"{""choices"": [""f_left"", ""dirty"", ""labeled"", ""damaged""]}",glebsin@gmail.com,463
/data/upload/2762_fFy7t8Q.jpg,234,"{""choices"": [""b_left"", ""labeled""]}",glebsin@gmail.com,454
/data/upload/2712_sqpGyHj.jpg,184,"{""choices"": [""trunk"", ""dirty""]}",glebsin@gmail.com,404
/data/upload/2707_zwF6P1P.jpg,179,"{""choices"": [""b_right"", ""labeled"", ""damaged""]}",glebsin@gmail.com,400
/data/upload/2622_Jnhm2hX.jpg,94,"{""choices"": [""interior"", ""dirty""]}",glebsin@gmail.com,315
/data/upload/2579_pxNNhR4.jpg,51,"{""choices"": [""f_right"", ""labeled""]}",glebsin@gmail.com,271
/data/upload/2557_JqgILFA.jpg,29,"{""choices"": [""trunk"", ""dirty""]}",glebsin@gmail.com,249
/data/upload/2828_XYnbDaO.jpg,300,"{""choices"": [""f_left"", ""labeled""]}",glebsin@gmail.com,522
/data/upload/2827_j98pt1V.jpg,299,panel,glebsin@gmail.com,521
/data/upload/2826_VmxOmzd.jpg,298,"{""choices"": [""back"", ""labeled""]}",glebsin@gmail.com,520
/data/upload/2824_ETW1tNx.jpg,296,trunk,glebsin@gmail.com,517
/data/upload/2823_Ia62uzg.jpg,295,"{""choices"": [""b_right"", ""dirty"", ""labeled""]}",glebsin@gmail.com,516
/data/upload/2821_dQqMpDn.jpg,293,front,glebsin@gmail.com,514
/data/upload/2820_IrsMAJV.jpg,292,"{""choices"": [""f_left"", ""dirty"", ""labeled""]}",glebsin@gmail.com,513
/data/upload/2819_QutT9QK.jpg,291,"{""choices"": [""f_right"", ""dirty"", ""labeled""]}",glebsin@gmail.com,512
/data/upload/2818_3vXdwAZ.jpg,290,interior,glebsin@gmail.com,511
/data/upload/2817_s89NDed.jpg,289,"{""choices"": [""right"", ""dirty"", ""labeled""]}",glebsin@gmail.com,510
/data/upload/2816_nW1lDHv.jpg,288,panel,glebsin@gmail.com,509
/data/upload/2815_p2kPK3U.jpg,287,panel,glebsin@gmail.com,508
/data/upload/2814_DcUjhy4.jpg,286,"{""choices"": [""left"", ""labeled""]}",glebsin@gmail.com,507
/data/upload/2813_RbZSt3P.jpg,285,"{""choices"": [""b_left"", ""labeled""]}",glebsin@gmail.com,506
/data/upload/2812_GxK4EQZ.jpg,284,"{""choices"": [""right"", ""labeled"", ""damaged""]}",glebsin@gmail.com,505
/data/upload/2811_mZDclx1.jpg,283,back,glebsin@gmail.com,504
/data/upload/2810_d9KGW9V.jpg,282,"{""choices"": [""right"", ""labeled"", ""damaged""]}",glebsin@gmail.com,503
/data/upload/2809_u3dtZQi.jpg,281,"{""choices"": [""b_right"", ""labeled"", ""damaged""]}",glebsin@gmail.com,502
/data/upload/2808_fSyUyLe.jpg,280,front,glebsin@gmail.com,501
/data/upload/2807_7FTX3u4.jpg,279,"{""choices"": [""f_left"", ""labeled""]}",glebsin@gmail.com,500
/data/upload/2806_JUGoWn2.jpg,278,panel,glebsin@gmail.com,499
/data/upload/2805_JQEJlu3.jpg,277,panel,glebsin@gmail.com,498
/data/upload/2804_OGVkn18.jpg,276,interior,glebsin@gmail.com,497
/data/upload/2803_Q7R3tR9.jpg,275,interior,glebsin@gmail.com,496
/data/upload/2802_yta3t9k.jpg,274,"{""choices"": [""trunk"", ""dirty""]}",glebsin@gmail.com,495
/data/upload/2801_sedrpxh.jpg,273,"{""choices"": [""back"", ""labeled"", ""damaged""]}",glebsin@gmail.com,494
/data/upload/2800_1rwAblL.jpg,272,"{""choices"": [""b_left"", ""labeled"", ""damaged""]}",glebsin@gmail.com,493
